,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Castelo Branco,100,PT,1575831144,93,39.82,-7.5,52.0,3.42
1,Road Town,40,VG,1575831145,66,18.42,-64.62,84.2,5.82
2,Sweetwater,1,US,1575831147,30,32.47,-100.41,72.0,18.34
3,Busselton,0,AU,1575831148,47,-33.64,115.35,57.99,10.74
4,Talnakh,99,RU,1575831149,75,69.49,88.39,-20.2,8.95
5,Taoudenni,100,ML,1575831150,21,22.68,-3.98,75.43,11.1
6,Port Elizabeth,1,US,1575831151,49,39.31,-74.98,48.0,5.82
7,Akdepe,78,TM,1575831152,29,42.05,59.39,37.4,6.93
8,Port Alfred,94,ZA,1575831153,72,-33.59,26.89,64.99,5.01
9,Vaini,100,IN,1575831155,85,15.34,74.49,67.75,6.17
10,Bluff,16,AU,1575831156,74,-23.58,149.07,72.39,10.0
11,Ushuaia,75,AR,1575831157,70,-54.81,-68.31,50.0,8.05
12,Lata,31,IN,1575831158,5,30.78,78.62,23.38,7.7
13,Gravdal,40,NO,1575831159,70,59.79,5.78,46.4,27.51
14,Fort Nelson,90,CA,1575831160,84,58.81,-122.69,5.0,3.36
15,Riachao das Neves,43,BR,1575831161,46,-11.75,-44.91,89.62,3.67
16,East London,75,ZA,1575831125,82,-33.02,27.91,64.4,9.17
17,Santa Maria,75,BR,1575830948,83,-16.02,-48.01,69.8,9.17
18,Ukiah,90,US,1575831008,93,39.15,-123.21,57.0,2.28
19,Hithadhoo,92,MV,1575831166,79,-0.6,73.08,82.94,13.56
20,Adre,0,TD,1575831167,14,13.47,22.2,69.03,10.25
21,Avarua,100,CK,1575831168,73,-21.21,-159.78,77.0,13.87
22,Kapaa,1,US,1575831169,100,22.08,-159.32,71.6,5.82
23,Kovdor,98,RU,1575831171,94,67.56,30.47,20.1,2.8
24,Kavieng,100,PG,1575831172,73,-2.57,150.8,84.06,7.87
25,Cape Town,20,ZA,1575831173,56,-33.93,18.42,70.0,17.22
26,Berlevag,75,NO,1575831174,92,70.86,29.09,30.2,29.97
27,San Jose de Gracia,0,MX,1575831175,21,20.67,-102.58,77.13,3.22
28,Mataura,50,NZ,1575831177,77,-46.19,168.86,52.0,10.0
29,Lebu,81,ET,1575831178,77,8.96,38.73,57.24,1.52
30,Sungaipenuh,100,ID,1575831179,98,-2.08,101.38,61.97,2.89
31,Naron,75,ES,1575831180,81,43.52,-8.15,55.99,2.24
32,Port Macquarie,90,AU,1575831065,73,-31.43,152.91,71.01,9.17
33,Port Hardy,75,CA,1575831182,100,50.7,-127.42,33.8,2.24
34,Geraldton,75,CA,1575831183,60,49.72,-86.95,6.8,10.29
35,Hermanus,29,ZA,1575831185,75,-34.42,19.24,69.01,11.01
36,Bethel,90,US,1575831186,80,60.79,-161.76,33.8,11.41
37,Mugan,0,CN,1575831187,36,35.94,101.38,17.98,3.67
38,Bonfim,10,GY,1575831188,39,3.36,-59.84,93.76,11.14
39,Ecoporanga,100,BR,1575831188,90,-18.37,-40.83,67.26,5.28
40,Bambanglipuro,100,ID,1575831190,91,-7.95,110.28,76.01,3.8
41,Sao Joao da Barra,40,BR,1575831191,57,-21.64,-41.05,80.6,13.87
42,Yellowknife,20,CA,1575831055,66,62.45,-114.38,-31.0,8.05
43,Mount Gambier,99,AU,1575831193,23,-37.83,140.78,73.4,12.75
44,Rocha,0,UY,1575830906,22,-34.48,-54.34,87.35,12.55
45,Hobart,94,AU,1575831065,58,-42.88,147.33,59.0,9.17
46,Narsaq,100,GL,1575831197,27,60.91,-46.05,39.2,12.75
47,Altay,41,CN,1575831198,72,47.83,88.13,11.5,5.91
48,Harrisburg,1,US,1575831199,52,40.27,-76.89,43.0,11.41
49,Nabire,98,ID,1575831200,96,-3.36,135.5,71.42,2.1
50,Jodhpur,0,IN,1575831136,41,26.3,73.04,63.39,8.55
51,Thompson,5,CA,1575831202,68,55.74,-97.86,-20.2,8.05
52,Barrow,32,AR,1575831203,16,-38.31,-60.23,87.4,17.81
53,Paternion,90,AT,1575831204,100,46.71,13.64,39.99,2.24
54,Honiara,40,SB,1575830949,88,-9.43,159.96,77.0,3.36
55,Arman,100,RU,1575831207,75,59.7,150.17,8.94,13.13
56,Albany,75,US,1575831208,58,42.65,-73.75,35.01,6.93
57,Piura,78,PE,1575831209,39,-5.2,-80.63,90.34,0.51
58,Walvis Bay,76,NA,1575831210,68,-22.95,14.51,69.8,10.29
59,Leh,40,IN,1575831211,18,34.16,77.58,2.68,3.53
60,Saint-Philippe,90,CA,1575831212,73,45.36,-73.48,28.0,17.22
61,Barinitas,52,VE,1575831213,97,8.76,-70.41,57.52,1.99
62,Dunedin,33,NZ,1575831014,65,-45.87,170.5,51.01,23.0
63,Jamestown,71,AU,1575831215,11,-33.21,138.6,72.61,7.7
64,New Norfolk,100,AU,1575831216,58,-42.78,147.06,59.0,9.17
65,Butaritari,100,KI,1575831218,75,3.07,172.79,79.83,8.39
66,Cegled,90,HU,1575831219,100,47.17,19.8,39.2,5.82
67,Bredasdorp,90,ZA,1575831220,63,-34.53,20.04,66.2,16.11
68,Khatanga,53,RU,1575831221,85,71.98,102.47,-12.57,3.8
69,Gejiu,13,CN,1575831222,75,23.36,103.16,36.01,3.2
70,Chuy,0,UY,1575831223,33,-33.69,-53.46,83.59,8.14
71,Ilulissat,23,GL,1575831224,50,69.22,-51.1,5.0,1.12
72,Saint Lawrence,71,MT,1575831225,87,36.06,14.2,61.0,6.93
73,Bathsheba,0,BB,1575831227,64,13.22,-59.52,80.91,17.65
74,Erzurum,75,TR,1575831228,92,39.91,41.27,21.2,2.24
75,Tasiilaq,83,GL,1575831229,68,65.61,-37.64,24.8,2.24
76,West Plains,90,US,1575831230,87,36.73,-91.85,50.0,10.29
77,Miramar,20,CR,1575831231,54,10.09,-84.73,80.6,19.46
78,Saskylakh,91,RU,1575831232,93,71.97,114.09,-12.06,7.58
79,Neryungri,100,RU,1575831233,88,56.66,124.71,-12.5,2.75
80,Hilo,1,US,1575831235,64,19.71,-155.08,75.99,4.27
81,Kailua,20,US,1575831236,88,21.39,-157.74,73.0,3.2
82,Saint Anthony,100,US,1575831237,96,43.97,-111.68,35.6,19.24
83,Kuala Lipis,100,MY,1575831239,97,4.19,102.05,70.9,1.43
84,Esperance,90,AU,1575831241,71,-33.86,121.89,55.4,2.24
85,Lompoc,90,US,1575831243,93,34.64,-120.46,63.0,6.93
86,Binalan,100,PH,1575831248,77,18.33,121.55,74.37,21.27
87,Upernavik,62,GL,1575831249,62,72.79,-56.15,3.79,10.94
88,Westport,1,US,1575830964,47,41.14,-73.36,41.0,8.05
89,Northam,0,AU,1575831251,81,-31.65,116.67,57.99,5.08
90,Sobolevo,74,RU,1575831252,88,54.43,31.9,33.48,12.95
91,Georgetown,75,GY,1575831254,79,6.8,-58.16,84.2,9.17
92,Iralaya,75,HN,1575831255,79,15.0,-83.23,84.2,11.41
93,Rikitea,92,PF,1575831256,80,-23.12,-134.97,73.35,26.64
94,Vostok,0,RU,1575831257,77,46.45,135.83,-11.22,5.19
95,Castro,40,CL,1575831258,63,-42.48,-73.76,64.4,4.7
96,Punta Arenas,75,CL,1575831260,66,-53.16,-70.91,55.4,16.11
97,Atuona,100,PF,1575831261,75,-9.8,-139.03,79.41,14.27
