LandmarkID,Name,Functn,Structure,EditBy,EditDate,Latitude,Longitude
3211204,Rockfalls,1000: Residence or accommodation functions,1100: Single-family buildings,rosewl,6/16/2017 10:51,37.55060407,-77.52498023
3211203,Higgins Doctors' Office Building,2000: General sales or services,2000: Commercial buildings and other specialized structures,rosewl,6/16/2017 10:46,37.55845015,-77.48733782
3209602,T Tyler Potterfield Pedestrian Bridge,"4136: Special purpose transit transportation (including scenic, sightseeing, etc)","5110: Pedestrian trail, sidewalks, etc",waldrosr,5/26/2017 13:54,37.53250072,-77.44499778
7014092,Community Building - Southside Regional Park,6300: Other government functions,2520: Community center (general merchandise with two or more anchors),waldrosr,1/12/2016 16:25,37.49962956,-77.51216801
7014092,Celebration Church and Outreach Ministry,6600: Religious institutions,2240: Department store building,rosewl,11/30/2015 10:28,37.50423383,-77.4988175
7000112,Libby Hill Park,5500: Natural and other recreational parks,9100: Not applicable to this dimension,waldrosr,11/12/2015 11:14,37.52726839,-77.4181519
7000317,Randolph Community Center,"5300: Amusement, sports, or recreation establishment",3800: Other community structures,rosewl,9/11/2014 10:55,37.54391153,-77.46045497
7000605,East District Family Resource Center,6500: Health and human services,4000: Institutional or community facilities,rosewl,9/11/2014 10:50,37.53484474,-77.4166655
7014091,Animal Care and Control,2720: Animal and pet services,4000: Institutional or community facilities,rosewl,1/24/2014 14:05,37.55778737,-77.44300374
7000305,Public Safety Building,6200: Public administration,2100: Office or bank building,rosewl,1/24/2014 13:21,37.54243669,-77.43216498
7001406,Southside Community Services Center,6500: Health and human services,2100: Office or bank building,rosewl,1/24/2014 13:07,37.50153074,-77.47558075
7000737,Swansboro Pool,"5300: Amusement, sports, or recreation establishment",6983: Pools and supporting maintenance or bathroom facilities,rosewl,1/24/2014 12:57,37.51041255,-77.46624489
7000759,VCU Medical Center - Gateway Building,6530: Hospital,4110: Hospital building,rosewl,10/29/2013 8:22,37.54027311,-77.43048176
7000269,Clark Springs Elementary School (Closed),6121: Elementary,4210: Grade school,waldrosr,7/11/2013 12:08,37.5395558,-77.4574229
7001495,Cannon Chapel,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",waldrosr,1/11/2013 10:49,37.57450868,-77.53899833
7013692,North Court,1000: Residence or accommodation functions,1320: Dormitories,waldrosr,1/11/2013 10:36,37.57559872,-77.54313769
7013691,Armitage Manufacturing Company,3000: Manufacturing and wholesale trade,2612: Mill-type factory structures,waldrosr,1/11/2013 10:26,37.52512318,-77.41521858
7013291,Richmond Fire Station 17,6410: Fire and rescue,4510: Fire and rescue station,waldrosr,11/7/2012 13:00,37.52133052,-77.45672862
7012894,Boulevard Bridge Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,5/25/2012 16:11,37.53586492,-77.48187837
7012893,Powhite South Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,5/25/2012 16:04,37.5307012,-77.51953338
7012892,Powhite North Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,5/25/2012 16:02,37.53132066,-77.51373542
7012891,Downtown Expressway Plaza,4100: Transportation services,5000: Transportation-related facilities,waldrosr,5/25/2012 15:59,37.54504816,-77.46183656
7012491,Walker's Creek Rentention Basin Park,5500: Natural and other recreational parks,9100: Not applicable to this dimension,waldrosr,5/1/2012 12:57,37.52572721,-77.43017107
7012091,Kent Road Village Apartments,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,3/23/2012 12:45,37.56630762,-77.48412799
7011691,Tempsford Condos,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,3/23/2012 10:54,37.56648405,-77.51988843
7000869,Crenshaw House,6130: Colleges and Universities,1000: Residential buildings,waldrosr,3/23/2012 10:30,37.54982796,-77.45375104
7011291,Heritage Oaks Retirement Community,1210: Retirement housing services,1300: Other specialized residential structures,waldrosr,1/27/2012 8:17,37.5176199,-77.51620809
7011292,Chesterfield Square Apartments,2322: Rental housing-related,1200: Multifamily structures,waldrosr,1/27/2012 8:13,37.51420559,-77.52330572
7010891,The Westhampton Green,5500: Natural and other recreational parks,9100: Not applicable to this dimension,waldrosr,3/31/2011 15:02,37.57675498,-77.51571277
7000603,Mosby Court South Public Housing Development,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,9/17/2010 9:32,37.54218684,-77.41737461
7010092,Mosby Court Public Housing Development,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,9/17/2010 9:31,37.54778047,-77.41939444
7010091,Whitcomb Court Public Housing Development,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,9/17/2010 9:30,37.55521502,-77.41603635
7010491,Creighton Court Public Housing Development,1000: Residence or accommodation functions,1200: Multifamily structures,waldrosr,9/17/2010 9:22,37.54427324,-77.39805695
7009693,Preschool Learning Center at Blackwell Elementary School,6121: Elementary,4210: Grade school,waldrosr,9/1/2010 14:23,37.51663115,-77.44355642
7009691,Preschool Learning Center at MLK Middle School,6125: Alternate education services,4210: Grade school,waldrosr,9/1/2010 14:20,37.54181792,-77.41961346
7000177,Preschool Learning Center at Maymont,6125: Alternate education services,4210: Grade school,waldrosr,9/1/2010 14:19,37.53842184,-77.4683127
